,sex,Cell type,Proportion
0,female,epithelial cell,
1,female,epithelial cell,
2,male,epithelial cell,
3,male,epithelial cell,
4,female,epithelial cell,
5,female,epithelial cell,
6,male,epithelial cell,
7,male,epithelial cell,
8,female,epithelial cell,
9,female,epithelial cell,
10,male,epithelial cell,
11,male,epithelial cell,
12,female,epithelial cell,
13,female,epithelial cell,
14,male,epithelial cell,
15,male,epithelial cell,
16,female,epithelial cell,
17,female,epithelial cell,
18,male,epithelial cell,
19,male,epithelial cell,
20,female,epithelial cell,
21,female,epithelial cell,
22,male,epithelial cell,
23,male,epithelial cell,
24,female,epithelial cell,
25,female,epithelial cell,
26,male,epithelial cell,
27,male,epithelial cell,
28,female,epithelial cell,
29,female,epithelial cell,
30,male,epithelial cell,
31,male,epithelial cell,
32,female,epithelial cell,
33,female,epithelial cell,
34,male,epithelial cell,
35,male,epithelial cell,
36,female,epithelial cell,
37,female,epithelial cell,
38,male,epithelial cell,
39,male,epithelial cell,
40,female,epithelial cell,
41,female,epithelial cell,
42,male,epithelial cell,
43,male,epithelial cell,
44,female,epithelial cell,
45,female,epithelial cell,
46,male,epithelial cell,
47,male,epithelial cell,
48,female,epithelial cell,
49,female,epithelial cell,
50,male,epithelial cell,
51,male,epithelial cell,
52,female,epithelial cell,
53,female,epithelial cell,
54,male,epithelial cell,
55,male,epithelial cell,
56,female,epithelial cell,
57,female,epithelial cell,
58,male,epithelial cell,
59,male,epithelial cell,
60,female,epithelial cell,
61,female,epithelial cell,
62,male,epithelial cell,
63,male,epithelial cell,
64,female,epithelial cell,
65,female,epithelial cell,
66,male,epithelial cell,
67,male,epithelial cell,
68,female,epithelial cell,
69,female,epithelial cell,
70,male,epithelial cell,
71,male,epithelial cell,
72,female,epithelial cell,
73,female,epithelial cell,
74,male,epithelial cell,0.014918190567853706
75,male,epithelial cell,
76,female,epithelial cell,
77,female,epithelial cell,
78,male,epithelial cell,
79,male,epithelial cell,
80,female,epithelial cell,
81,female,epithelial cell,
82,male,epithelial cell,
83,male,epithelial cell,
84,female,epithelial cell,
85,female,epithelial cell,
86,male,epithelial cell,
87,male,epithelial cell,
88,female,epithelial cell,
89,female,epithelial cell,
90,male,epithelial cell,
91,male,epithelial cell,
92,female,epithelial cell,
93,female,epithelial cell,
94,male,epithelial cell,
95,male,epithelial cell,
96,female,epithelial cell,
97,female,epithelial cell,
98,male,epithelial cell,0.0023802439750074383
99,male,epithelial cell,0.010810810810810811
100,female,epithelial cell,
101,female,epithelial cell,
102,male,epithelial cell,
103,male,epithelial cell,
104,female,epithelial cell,
105,female,epithelial cell,
106,male,epithelial cell,
107,male,epithelial cell,
108,female,epithelial cell,
109,female,epithelial cell,0.02434900236726412
110,male,epithelial cell,
111,male,epithelial cell,
112,female,epithelial cell,
113,female,epithelial cell,0.0049504950495049506
114,male,epithelial cell,
115,male,epithelial cell,
116,female,epithelial cell,
117,female,epithelial cell,
118,male,epithelial cell,
119,male,epithelial cell,
120,female,epithelial cell,
121,female,epithelial cell,
122,male,epithelial cell,
123,male,epithelial cell,
124,female,epithelial cell,
125,female,epithelial cell,0.003843197540353574
126,male,epithelial cell,
127,male,epithelial cell,
128,female,epithelial cell,
129,female,epithelial cell,
130,male,epithelial cell,
131,male,epithelial cell,
132,female,epithelial cell,
133,female,epithelial cell,
134,male,epithelial cell,
135,male,epithelial cell,
136,female,epithelial cell,
137,female,epithelial cell,
138,male,epithelial cell,
139,male,epithelial cell,
140,female,epithelial cell,
141,female,epithelial cell,
142,male,epithelial cell,
143,male,epithelial cell,
144,female,epithelial cell,
145,female,epithelial cell,
146,male,epithelial cell,
147,male,epithelial cell,
148,female,epithelial cell,
149,female,epithelial cell,
150,male,epithelial cell,
151,male,epithelial cell,
152,female,epithelial cell,
153,female,epithelial cell,
154,male,epithelial cell,
155,male,epithelial cell,
156,female,epithelial cell,
157,female,epithelial cell,
158,male,epithelial cell,
